Datetime,Text
2016-03-22 23:09:05+00:00,"#Guinée : au moins cinq morts depuis la résurgence d'Ebola, http://www.jeuneafrique.com/312497/societe/guinee-au-moins-cinq-morts-depuis-la-resurgence-debola-le-pays-en-alerte/?utm_source=Facebook&amp;utm_medium=Articles&amp;utm_campaign=+PostFB_%2A22032016"
2016-03-22 23:08:39+00:00,@CIDRAP Is it time to pull the plug on the unjustified 21 day incubation time for #Ebola ?
2016-03-22 23:08:16+00:00,@pierrewillson I'm going with Ebola
2016-03-22 23:07:40+00:00,At least 5 dead in Guinea Ebola flare-up http://bit.ly/1U6uiyQ @sierraleonenet
2016-03-22 23:05:03+00:00,Ebola : la réapparition du virus a causé la mort d'au moins cinq personnes http://u.afp.com/Z864 #AFP
2016-03-22 23:04:34+00:00,El Gobierno de Mali confirma a su país como libre de ébola http://ift.tt/18HMXvp
2016-03-22 23:03:31+00:00,Ebola de retour en Guinée: Cinq morts http://www.senenews.com/?p=151800
2016-03-22 23:03:20+00:00,Ebola de retour en Guinée: Cinq morts http://www.senenews.com/?p=151800
2016-03-22 23:02:44+00:00,@RosalindaHu @1matthewwright1 @walkercan1000 @Cerb32 @skymartinbrunt It's already got victims strewn over half of Europe. They're like Ebola
2016-03-22 23:02:44+00:00,"Catching Ebola, while getting bitten by Malaria ridden mosquitos. #SaferThanATrumpRally"
2016-03-22 23:02:24+00:00,All meth user watch out for the ebola contamination. Lol
2016-03-22 23:01:56+00:00,"@GrumpySkeletor I can still hear that fucking theme tune, infectious like ebola all 4 1 &amp; 1 4 all muskehounds are always ready "
2016-03-22 23:01:23+00:00,#NAME?
2016-03-22 23:00:56+00:00,Guinea Becomes Vulnerable to New Ebola Outbreak: http://youtu.be/U5VelWYUPDg?a via @YouTube
2016-03-22 23:00:56+00:00,Global Reports on Ebola's Lessons Overlook Politics and Misplace Scrutiny http://bit.ly/1UDK7x4 #PublicHealth #News
2016-03-22 23:00:45+00:00,#Liberia closes border with #Ebola-hit #Guinea http://bit.ly/1o58rd3
2016-03-22 23:00:29+00:00,Intubating Ebola Patients http://www.medscape.com/viewarticle/858476?nlid=102566_804&amp;src=WNL_mdplsfeat_160322_mscpedit_infd&amp;uac=83328DN&amp;spon=3&amp;impID=1032458&amp;faf=1
2016-03-22 23:00:19+00:00,"After their mother falls ill with Ebola, Mercy and Harris become outcasts with nowhere to go and no government plan in place"
2016-03-22 22:58:56+00:00,Nya ebolafall i Guinea oroar - Liberia stänger sina gränser http://www.afrope.se/2016/03/22/nya-ebolafall-i-guinea-oroar-liberia-stanger-sina-granser/ via @afropese #ebola #guinea #liberia
2016-03-22 22:55:13+00:00,Quinta pessoa morre em volta repentina do Ebola à Guiné http://www.jornainoticia.com.br/index.php/124378/quinta-pessoa-morre-em-volta-repentina-do-ebola-a-guine/
2016-03-22 22:54:49+00:00,Betrugsvorwürfe um Ebola-Impfstoff: Erleichterte sie Schweizer Kleinanleger um 60 Mio? - http://goo.gl/alerts/k45j6 #GoogleAlerts
2016-03-22 22:54:42+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab: Mehr als zwei Jahre lang geißelte Ebola die westafri... http://bit.ly/1UDJ68g
2016-03-22 22:54:41+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab: Mehr als zwei Jahre lang geißelte Ebola die westafri... http://bit.ly/1UDJ68g
2016-03-22 22:52:54+00:00,Aus Angst vor Ebola: Liberia riegelt Grenze zu Guinea ab http://bit.ly/1U6rzp7 #nachrichten
2016-03-22 22:52:29+00:00,"Au moins 5 morts dans la résurgence d'#Ebola en #Guinée, le #Liberia ferme sa frontière - TV5MONDE - Informations http://information.tv5monde.com/en-continu/au-moins-5-morts-dans-la-resurgence-d-ebola-en-guinee-selon-la-coordination-de-lutte"
2016-03-22 22:52:05+00:00,General News • 'Ebola to dominate President Mahama’s UN address today' via @233liveOnline. Full story at http://233live.com/General/92712/Ebola+to+dominate+President+Mahama%E2%80%99s+UN+address+today.html
2016-03-22 22:51:45+00:00,Lol remember when we all thought we were gonna get Ebola
2016-03-22 22:51:45+00:00,¿Cuál es la diferencia entre un PRO-VIDA y un ANIMALISTA? Sólo que la vida cuyos derechos defiende el animalista es más peluda que un feto.
2016-03-22 22:51:29+00:00,@CoulibalyNina c'est clair tu m'as infecté... Plus efficace que ebola
2016-03-22 22:49:54+00:00,@Kmarkobarstool I visited Emory and was yelled at for saying if you go Africa and catch Ebola that's your own fault. Idk how you survived
2016-03-22 22:49:09+00:00,#NAME?
2016-03-22 22:49:06+00:00,Guinea traces 816 Ebola contacts - The Herald http://bit.ly/1VBM8cJ #ebola #EVD
2016-03-22 22:49:05+00:00,Global Reports on Ebola's Lessons Overlook Politics and Misplace Scrutiny - Rescue http://bit.ly/1VBMa4r #ebola #EVD
2016-03-22 22:49:05+00:00,Fifth person dies in Guinea Ebola flare-up - Reuters http://bit.ly/1VBMa4m #ebola #EVD
2016-03-22 22:49:04+00:00,@briito19 pra n pegar um ebola lá né tlgd kkkkk
2016-03-22 22:49:03+00:00,5 dead in Guinea Ebola flare-up http://nnuya.com/?p=31641
2016-03-22 22:48:14+00:00,"Fantastic @MSF news from Guinea, 21-day-old Nubia, country's last Ebola patient tests negative for the virus "
2016-03-22 22:47:52+00:00,#NoLosDejaremosSolos
2016-03-22 22:47:23+00:00,@MaieAiyed MAIE THIS ISNT THE FLU. THIS IS EBOLA AND A COLD HAVING A BABY. I AM PATIENT 0
2016-03-22 22:47:14+00:00,General News • 'Ebola scare: Pentecostal Council closes down all baptisteries' via @233liveOnline. Full story at http://233live.com/General/93030/Ebola+scare%3A+Pentecostal+Council+closes+down+all+baptisteries.html
2016-03-22 22:47:12+00:00,Fifth person dies in Guinea Ebola flare-up - Reuters http://dlvr.it/Ks7mwZ
2016-03-22 22:45:10+00:00,"Ebola tinha que ter vindo, só queria ir pra casa"
2016-03-22 22:44:46+00:00,Que raro mi wpp con ébola
2016-03-22 22:43:51+00:00,"Le monde est perdu oh , c'est l'Islam on veut éradiquer maintenant après le sida et l'ébola..."
2016-03-22 22:43:34+00:00,Guinea traces 816 Ebola contacts http://dlvr.it/Ks7kND
2016-03-22 22:43:30+00:00,This just came out today. Infections and Elections: Did an Ebola Outbreak Influence the 2014 U.S. Federal... http://fb.me/WFd6wTp5
2016-03-22 22:42:56+00:00,@1stworldmusic Unfortunately people play deaf to the science when we talk and focus on pocket money.Now they react..No #Ebola lessons Learnt
2016-03-22 22:42:23+00:00,@Jessy_JG13 It's not the return of Ebola - just expected flare-ups. It's not a surprise. 
2016-03-22 22:42:19+00:00,"I had a hospital ship based in sierra leone to tackle the ebola crisis. The armed forces around the world is fucked. Erikson, a Swede ?"
2016-03-22 22:42:05+00:00,#NAME?
2016-03-22 22:41:49+00:00,Guinea traces 816 Ebola contacts http://www.thezimbabwedaily.com/zimbabwe/55360-guinea-traces-816-ebola-contacts.html
2016-03-22 22:41:19+00:00,"Si Henrique no dice nada es porque oculta algo, seguramente cáncer, sida o ébola pero si lo desmiente es porque quiere atención. ¿Es así?"
2016-03-22 22:40:33+00:00,"Após ressurgimento do surto de ebola, Guiné registra cinco mortes pela doença http://dlvr.it/Ks7gYg"
2016-03-22 22:40:12+00:00,"@Boolture @cynpuntocl Algunos tienen esposa e hijos, pega, casa, mascota, auto, viajes acumulados y NADA MÁS."
2016-03-22 22:40:07+00:00,Non...pas le retour d'Ébola #Ebola #EbolaAlert
