Country,Cases,Deaths,Year,Month,Day
Thailand,1414,3,2009,7,1
Trinidad and Tobago,53,0,2009,7,1
Tunisia,3,0,2009,7,1
Turkey,32,0,2009,7,1
Ukraine,1,0,2009,7,1
United Arab Emirates,8,0,2009,7,1
United Kingdom,6552,3,2009,7,1
United States of America,27717,127,2009,7,1
Uruguay,195,1,2009,7,1
Vanuatu,2,0,2009,7,1
Venezuela,193,0,2009,7,1
Viet Nam,123,0,2009,7,1
West Bank and Gaza Strip,13,0,2009,7,1
Yemen,7,0,2009,7,1
Algeria,2,0,2009,6,29
Antigua and Barbuda,2,0,2009,6,29
Argentina,1488,23,2009,6,29
Australia,4038,7,2009,6,29
Austria,12,0,2009,6,29
Bahamas,4,0,2009,6,29
Bahrain,15,0,2009,6,29
Bangladesh,1,0,2009,6,29
Barbados,10,0,2009,6,29
Belgium,43,0,2009,6,29
"Bermuda, UKOT",1,0,2009,6,29
Bolivia,126,0,2009,6,29
Brazil,452,0,2009,6,29
"British Virgin Islands, UKOT",1,0,2009,6,29
Brunei Darussalam,29,0,2009,6,29
Bulgaria,7,0,2009,6,29
Cambodia,6,0,2009,6,29
Canada,7775,21,2009,6,29
Cap Verde,3,0,2009,6,29
"Cayman Islands, UKOT",9,0,2009,6,29
Chile,5186,7,2009,6,29
China,1442,0,2009,6,29
Colombia,88,2,2009,6,29
Costa Rica,255,1,2009,6,29
Cote d'Ivoire,2,0,2009,6,29
Cuba,34,0,2009,6,29
Cyprus,25,0,2009,6,29
Czech Republic,9,0,2009,6,29
Denmark,44,0,2009,6,29
Dominica,1,0,2009,6,29
Dominican Republic,108,2,2009,6,29
Ecuador,125,0,2009,6,29
Egypt,50,0,2009,6,29
El Salvador,226,0,2009,6,29
Estonia,13,0,2009,6,29
Ethiopia,2,0,2009,6,29
Fiji,2,0,2009,6,29
Finland,26,0,2009,6,29
France,240,0,2009,6,29
Germany,366,0,2009,6,29
Greece,86,0,2009,6,29
Guatemala ,254,2,2009,6,29
Honduras,118,1,2009,6,29
Hungary,8,0,2009,6,29
Iceland,4,0,2009,6,29
India,64,0,2009,6,29
Indonesia,8,0,2009,6,29
Iran,1,0,2009,6,29
Iraq,10,0,2009,6,29
Ireland,39,0,2009,6,29
Israel,469,0,2009,6,29
Italy,112,0,2009,6,29
Jamaica,21,0,2009,6,29
Japan,1212,0,2009,6,29
Jordan,18,0,2009,6,29
"Korea, Republic of",202,0,2009,6,29
Kuwait,30,0,2009,6,29
Laos,3,0,2009,6,29
Latvia,1,0,2009,6,29
Lebanon,25,0,2009,6,29
Lithuania,1,0,2009,6,29
Luxembourg,4,0,2009,6,29
Malaysia,112,0,2009,6,29
Mexico,8279,116,2009,6,29
Monaco,1,0,2009,6,29
Montenegro,1,0,2009,6,29
Morocco,11,0,2009,6,29
Nepal,3,0,2009,6,29
Netherlands,122,0,2009,6,29
New Zealand,587,0,2009,6,29
Nicaragua,277,0,2009,6,29
Norway,31,0,2009,6,29
Oman,3,0,2009,6,29
Panama,403,0,2009,6,29
Papua New Guinea,1,0,2009,6,29
Paraguay,85,0,2009,6,29
Peru,360,0,2009,6,29
Philippines,861,1,2009,6,29
Poland,14,0,2009,6,29
Portugal,11,0,2009,6,29
Qatar,10,0,2009,6,29
Romania,24,0,2009,6,29
Russia,3,0,2009,6,29
Samoa,1,0,2009,6,29
Saudi Arabia,69,0,2009,6,29
Serbia,5,0,2009,6,29
Singapore,599,0,2009,6,29
Slovakia,9,0,2009,6,29
Slovenia,4,0,2009,6,29
South Africa,1,0,2009,6,29
Spain,541,0,2009,6,29
Sri Lanka,9,0,2009,6,29
Suriname,11,0,2009,6,29
Sweden,67,0,2009,6,29
Switzerland,49,0,2009,6,29
Thailand,774,0,2009,6,29
Trinidad and Tobago,53,0,2009,6,29
Tunisia,2,0,2009,6,29
Turkey,27,0,2009,6,29
Ukraine,1,0,2009,6,29
United Arab Emirates,8,0,2009,6,29
United Kingdom,4260,1,2009,6,29
United States of America,27717,127,2009,6,29
Uruguay,195,0,2009,6,29
Vanuatu,2,0,2009,6,29
Venezuela,172,0,2009,6,29
Viet Nam,84,0,2009,6,29
West Bank and Gaza Strip,9,0,2009,6,29
Yemen,6,0,2009,6,29
Algeria,2,0,2009,6,26
Antigua and Barbuda,2,0,2009,6,26
Argentina,1391,21,2009,6,26
Australia,3280,3,2009,6,26
Austria,12,0,2009,6,26
Bahamas,4,0,2009,6,26
Bahrain,15,0,2009,6,26
Bangladesh,1,0,2009,6,26
Barbados,10,0,2009,6,26
Belgium,36,0,2009,6,26
"Bermuda, UKOT",1,0,2009,6,26
Bolivia,47,0,2009,6,26
Brazil,399,0,2009,6,26
"British Virgin Islands, UKOT",1,0,2009,6,26
Brunei Darussalam,11,0,2009,6,26
Bulgaria,7,0,2009,6,26
Cambodia,5,0,2009,6,26
Canada,6732,19,2009,6,26
Cap Verde,3,0,2009,6,26
"Cayman Islands, UKOT",9,0,2009,6,26
Chile,5186,7,2009,6,26
China,1089,0,2009,6,26
Colombia,72,2,2009,6,26
Costa Rica,222,1,2009,6,26
Cote d'Ivoire,2,0,2009,6,26
Cuba,34,0,2009,6,26
Cyprus,9,0,2009,6,26
Czech Republic,9,0,2009,6,26
Denmark,41,0,2009,6,26
Dominica,1,0,2009,6,26
Dominican Republic,108,2,2009,6,26
Ecuador,125,0,2009,6,26
Egypt,43,0,2009,6,26
El Salvador,160,0,2009,6,26
Estonia,8,0,2009,6,26
Ethiopia,2,0,2009,6,26
Fiji,2,0,2009,6,26
Finland,26,0,2009,6,26
France,194,0,2009,6,26
Germany,333,0,2009,6,26
Greece,73,0,2009,6,26
Guatemala ,254,2,2009,6,26
Honduras,118,1,2009,6,26
Hungary,8,0,2009,6,26
Iceland,4,0,2009,6,26
India,64,0,2009,6,26
Indonesia,2,0,2009,6,26
Iran,1,0,2009,6,26
Ireland,29,0,2009,6,26
Israel,405,0,2009,6,26
Italy,102,0,2009,6,26
Jamaica,19,0,2009,6,26
Japan,1049,0,2009,6,26
Jordan,15,0,2009,6,26
"Korea, Republic of",142,0,2009,6,26
Kuwait,30,0,2009,6,26
Laos,3,0,2009,6,26
Latvia,1,0,2009,6,26
Lebanon,25,0,2009,6,26
Luxembourg,3,0,2009,6,26
Malaysia,68,0,2009,6,26
Mexico,8279,116,2009,6,26
Montenegro,1,0,2009,6,26
Morocco,11,0,2009,6,26
Netherlands,120,0,2009,6,26
New Zealand,453,0,2009,6,26
Nicaragua,265,0,2009,6,26
Norway,22,0,2009,6,26
Oman,3,0,2009,6,26
Panama,358,0,2009,6,26
