virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-26,China,405.0,52.0,2403.0,9,2,2020
Coronavirus,2020-02-27,China,433.0,29.0,2845.0,9,2,2020
Coronavirus,2020-02-28,China,326.0,44.0,3393.0,9,2,2020
Coronavirus,2020-02-29,China,427.0,47.0,2988.0,9,2,2020
Coronavirus,2020-03-01,China,575.0,35.0,2839.0,9,3,2020
Coronavirus,2020-03-02,China,200.0,42.0,2692.0,10,3,2020
Coronavirus,2020-03-03,China,125.0,33.0,2594.0,10,3,2020
Coronavirus,2020-01-23,Colombia,0.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-27,Cote d'Ivoire,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-25,Croatia,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Croatia,2.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Croatia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Croatia,2.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Croatia,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Croatia,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Croatia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Croatia,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-01,Czech Republic,3.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Czech Republic,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Czech Republic,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-27,Denmark,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Denmark,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Denmark,2.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Denmark,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Denmark,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Denmark,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-01,Dominican Republic,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Dominican Republic,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Dominican Republic,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-01,Ecuador,6.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Ecuador,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Ecuador,1.0,0.0,0.0,10,3,2020
